ID,Longitude,Latitude,Area
150430-0330,119.9594444,41.98619444,20000
150430-0335,119.9415278,42.04094444,5000
150430-0628,120.6019167,42.34494444,10000
150430-0661,119.6665833,42.57730556,40000
150430-0721,119.7398889,42.36452778,2000
150430-0723,119.6894167,42.43738889,1000
150430-0849,119.6627778,42.29497222,25000
150430-1003,120.5174444,42.60702778,3200
150430-1051,120.48325,42.5255,4000
150430-1053,120.483,42.53455556,10500
150430-1123,120.6120278,42.45544444,7200
150430-1125,120.6389167,42.44325,900
150430-1134,120.5751944,42.41780556,2400
150430-1156,120.4735,42.40655556,67500
150430-1187,120.6973333,42.37305556,12000
150430-1190,120.7795556,42.29330556,2356.19
150430-1221,120.0318889,41.70997222,160000
150430-1330,120.2263056,41.88727778,0
150430-1355,120.1726111,41.88119444,10000
150430-1384,119.9986667,41.89777778,4000
150430-1486,120.2656667,42.32558333,3000
150430-1489,120.2680556,42.27055556,3600
150430-1602,120.033,41.88472222,2826
150430-1638,119.9666667,41.92022222,2000
150430-1725,120.0773056,42.02863889,1500
150430-1744,120.1246389,42.02838889,7225
150430-1751,120.1258889,42.02972222,3846.5
150430-1777,120.2664722,42.01361111,2000
150430-1783,120.21475,42.00855556,1400
150430-1784,120.22575,42.01111111,8000
150430-1799,120.2653333,42.05719444,1962.5
150430-1806,120.3332222,42.18069444,10000
150430-1807,120.36925,42.17977778,15000
150430-1858,120.4066111,42.03086111,3200
150430-1882,120.4410556,42.07616667,1750
150430-1927,120.1189444,42.09130556,10000
150430-1946,120.2070833,42.09658333,10000
150430-1950,120.13675,42.04980556,2500
150430-1955,120.3703056,42.05658333,5000
150430-1963,120.2331944,42.03083333,10000
150430-1975,120.3218889,42.14033333,45000
150430-1980,120.2931667,42.11647222,3600
150430-1998,120.2252222,42.17913889,10000
150430-2087,120.5246111,42.14875,15000
150430-2115,120.5859722,42.17286111,1600
150430-2149,120.6422222,42.21961111,1600
150430-2161,120.6375,42.20597222,6400
150430-2251,120.7352222,42.24252778,942.48
150430-2262,120.6937222,42.22925,2826
150430-2263,120.6464722,42.17391667,1050
150430-2276,120.1936944,41.94322222,3000
150430-2281,120.6060278,42.30072222,70000
150430-2338,120.4434167,42.32625,942.48
150430-2345,120.489,42.35780556,4000
150430-2414,120.3196111,41.99266667,1000
150430-2443,120.2656667,41.94052778,1680
150430-2494,120.2953889,41.94911111,13096.5
150430-2498,120.6161944,42.27097222,25000
150430-2614,120.6541389,42.25313889,10000
150430-2617,120.6341944,42.34669444,30000
150430-2664,120.5998889,42.37858333,3000
150430-2669,120.6060556,42.38508333,5000
150430-2784,119.9943056,42.19827778,2000
150430-2855,120.1561944,42.34711111,100000
150430-2856,120.1639444,42.34933333,4800
150430-2876,120.4544722,42.27311111,10000
150430-2901,120.4985556,42.27613889,4000
